number,title,source,title_lower,has_erc20,has_erc721,has_erc1155,has_safemath,has_accesscontrol,has_governor,has_ownable,has_proxy,has_timelock,has_merkle,op_transfer,op_approve,op_mint,op_burn,op_initialize,op_deploy,op_upgrade,op_delegatecall,op_verify,op_validate,is_bug_related,dasp_category,confidence
5413,fix: Fixing issue with import.meta.dirname usage Update run.js,fix,fix: fixing issue with import.meta.dirname usage update run.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,1.5
5404, fix: add symbol length and character validation,fix, fix: add symbol length and character validation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5
5403,fix: typos in documentation files,fix,fix: typos in documentation files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5402,Fix Typographical Errors in Contracts and Tests,fix,fix typographical errors in contracts and tests,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5401,Fix bash script set max old space on linux,fix,fix bash script set max old space on linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5397,Fix inaccurate comment for callGasLimit function in ERC4337Utils,fix,fix inaccurate comment for callgaslimit function in erc4337utils,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,1.5
5396,fix: Error Handling and Improvements in File Deletion Process,fix,fix: error handling and improvements in file deletion process,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5393,fix: fix incorrect usage of import.meta.dirname in Node.js,fix,fix: fix incorrect usage of import.meta.dirname in node.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5392,Fix envvar setting for test and coverage,fix,fix envvar setting for test and coverage,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5381,Fix pragma-consistency.js's comment,fix,fix pragma-consistency.js's comment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5376,docs fix spelling issues,fix,docs fix spelling issues,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5374,fix: Add error handling for npm pack command Update pack.sh,fix,fix: add error handling for npm pack command update pack.sh,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5
5370,fix:  Fix invalid usage of import.meta.dirname Update run.js,fix,fix:  fix invalid usage of import.meta.dirname update run.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,1.5
5369,docs: fix typo Update README.adoc,fix,docs: fix typo update readme.adoc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5365,Fix documentation formatting and readability,fix,fix documentation formatting and readability,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5361,Fix README.adoc,fix,fix readme.adoc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5356,Fix grammar in documentation,fix,fix grammar in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5354,fix typo Update inheritance-ordering.js,fix,fix typo update inheritance-ordering.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,1.5
5352,Fix typos in GUIDELINES.md and SECURITY.md,fix,fix typos in guidelines.md and security.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5351,fix: typos in documentation files,fix,fix: typos in documentation files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5349,Grammar fixes in documentation,fix,grammar fixes in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5344,Fix typos and improve consistency in documentation,fix,fix typos and improve consistency in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5342,"Cherry-pick ""Fix v5.2 testing"" from the release-v5.2 branch",fix,"cherry-pick ""fix v5.2 testing"" from the release-v5.2 branch",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5339,Fix v5.2 testing,fix,fix v5.2 testing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5335,Fix Syntax Errors in Mapping Definitions,fix,fix syntax errors in mapping definitions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,错误的构造器命名,1.5
5334,Fix Syntax Error in _balances Mapping Declaration,fix,fix syntax error in _balances mapping declaration,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5
5333,Fix typo in paymasterData function comment,fix,fix typo in paymasterdata function comment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5332,Fix return type for decodeSingle function to avoid potential issues w…,fix,fix return type for decodesingle function to avoid potential issues w…,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5331,Fix incorrect syntax in RoleData mapping definition,fix,fix incorrect syntax in roledata mapping definition,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,1.5
5330,Release v5.2 audit fixes,fix,release v5.2 audit fixes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5329,Fix typo in ERC721 API reference docs,fix,fix typo in erc721 api reference docs,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,1.0
5326,Fix typos improved clarity,fix,fix typos improved clarity,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5317,Various changes to code clarity (Fix N-07),fix,various changes to code clarity (fix n-07),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5316,Fix: Ensure cross-platform compatibility for sed command in CI script,fix,fix: ensure cross-platform compatibility for sed command in ci script,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5308,"Fix 5.2 audit L-05, N-03, N-04, N-05 and N-06 issues",fix,"fix 5.2 audit l-05, n-03, n-04, n-05 and n-06 issues",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5305,fix: typos in documentation files,fix,fix: typos in documentation files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5302,fix: typos,fix,fix: typos,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5300,Fix docs in the extending-contracts section,fix,fix docs in the extending-contracts section,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5297,Fix typo in GUIDELINES.md,fix,fix typo in guidelines.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5248,Fix account abstraction upgradeable testing,fix,fix account abstraction upgradeable testing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,未知函数调用,1.5
5241,Bug report,bug,bug report,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5240,Fix typo in CHANGELOG.md,fix,fix typo in changelog.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5235,Fix spelling issues in documentation,fix,fix spelling issues in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5232,Fix invalid link and typos,fix,fix invalid link and typos,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5222,Fix typo in ERC4626 docs,fix,fix typo in erc4626 docs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,非Bug相关,0.5
5218,Fix P256 corner cases,fix,fix p256 corner cases,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5199,Fix ordering of functions,fix,fix ordering of functions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5194,Fix typographical errors,fix,fix typographical errors,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5171,Fix typographical errors,fix,fix typographical errors,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
5141,Fix `prepare` when using as git repository dependency,fix,fix `prepare` when using as git repository dependency,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5
