number,title,source,title_lower,has_erc20,has_erc721,has_erc1155,has_safemath,has_accesscontrol,has_governor,has_ownable,has_proxy,has_timelock,has_merkle,op_transfer,op_approve,op_mint,op_burn,op_initialize,op_deploy,op_upgrade,op_delegatecall,op_verify,op_validate,is_bug_related,dasp_category,confidence,manual_review,correct_category,notes
5413,fix: Fixing issue with import.meta.dirname usage Update run.js,fix,fix: fixing issue with import.meta.dirname usage update run.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,1.5,,,
5404, fix: add symbol length and character validation,fix, fix: add symbol length and character validation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5,,,
5401,Fix bash script set max old space on linux,fix,fix bash script set max old space on linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5396,fix: Error Handling and Improvements in File Deletion Process,fix,fix: error handling and improvements in file deletion process,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5393,fix: fix incorrect usage of import.meta.dirname in Node.js,fix,fix: fix incorrect usage of import.meta.dirname in node.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5392,Fix envvar setting for test and coverage,fix,fix envvar setting for test and coverage,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5374,fix: Add error handling for npm pack command Update pack.sh,fix,fix: add error handling for npm pack command update pack.sh,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5,,,
5370,fix:  Fix invalid usage of import.meta.dirname Update run.js,fix,fix:  fix invalid usage of import.meta.dirname update run.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,1.5,,,
5342,"Cherry-pick ""Fix v5.2 testing"" from the release-v5.2 branch",fix,"cherry-pick ""fix v5.2 testing"" from the release-v5.2 branch",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5339,Fix v5.2 testing,fix,fix v5.2 testing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5335,Fix Syntax Errors in Mapping Definitions,fix,fix syntax errors in mapping definitions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,错误的构造器命名,1.5,,,
5334,Fix Syntax Error in _balances Mapping Declaration,fix,fix syntax error in _balances mapping declaration,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5,,,
5332,Fix return type for decodeSingle function to avoid potential issues w…,fix,fix return type for decodesingle function to avoid potential issues w…,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5331,Fix incorrect syntax in RoleData mapping definition,fix,fix incorrect syntax in roledata mapping definition,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,1.5,,,
5330,Release v5.2 audit fixes,fix,release v5.2 audit fixes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5317,Various changes to code clarity (Fix N-07),fix,various changes to code clarity (fix n-07),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5316,Fix: Ensure cross-platform compatibility for sed command in CI script,fix,fix: ensure cross-platform compatibility for sed command in ci script,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5308,"Fix 5.2 audit L-05, N-03, N-04, N-05 and N-06 issues",fix,"fix 5.2 audit l-05, n-03, n-04, n-05 and n-06 issues",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5248,Fix account abstraction upgradeable testing,fix,fix account abstraction upgradeable testing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,未知函数调用,1.5,,,
5241,Bug report,bug,bug report,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5218,Fix P256 corner cases,fix,fix p256 corner cases,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5199,Fix ordering of functions,fix,fix ordering of functions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5141,Fix `prepare` when using as git repository dependency,fix,fix `prepare` when using as git repository dependency,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5086,chore: fix the broken link,fix,chore: fix the broken link,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5069,Fix dirty bits in upper bits in implementation address in `Clones.sol`,fix,fix dirty bits in upper bits in implementation address in `clones.sol`,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,1.5,,,
5058,Fix invalid memory-safe annotation,fix,fix invalid memory-safe annotation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,1.5,,,
5055,Fix Codespell,fix,fix codespell,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
5037,Fix Governor.t.sol's duplicate words,fix,fix governor.t.sol's duplicate words,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4969,Fix excessive gas usage when at or near cap.,fix,fix excessive gas usage when at or near cap.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,1.5,,,
4966,"Fixing ""Invalid OpCode"" Truffle Error with Openzeppelin Library Installed",fix,"fixing ""invalid opcode"" truffle error with openzeppelin library installed",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4922,Bug bounty,bug,bug bounty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4838,Fix gasReport format,fix,fix gasreport format,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,1.5,,,
4824,Fix gas report generation,fix,fix gas report generation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,1.5,,,
4707,param provided instead of fixed value,fix,param provided instead of fixed value,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4706,Use param instead of a fixed value in event,fix,use param instead of a fixed value in event,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4699,Fix release tagging,fix,fix release tagging,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4648,Fix coverage analysis,fix,fix coverage analysis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4646,Fix release tagging,fix,fix release tagging,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4637,Fix upgradeable patch in release branches,fix,fix upgradeable patch in release branches,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,未知函数调用,1.5,,,
4616,Fix changesets,fix,fix changesets,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4610,Merge latest audit fixes,fix,merge latest audit fixes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4593,Fix flaky test in AccessManager,fix,fix flaky test in accessmanager,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,1.5,,,
4532,Fix blog link ,fix,fix blog link ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4516,Some fixes and improvements to AccessManager,fix,some fixes and improvements to accessmanager,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,1.5,,,
4483,#fixes Some modifiers could use internal functions to reduce code size impact ,fix,#fixes some modifiers could use internal functions to reduce code size impact ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,默认可见性,1.5,,,
4474,OpenZeppelin avoided paying the bug bounty for disclosing a flaw in the contract that caused a freeze of $1.1B worth of assets,bug,openzeppelin avoided paying the bug bounty for disclosing a flaw in the contract that caused a freeze of $1.1b worth of assets,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,未分类,0.5,,,
4391,Fix details AccessControl-test,fix,fix details accesscontrol-test,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,访问控制问题,1.5,,,
