number,title,source,title_lower,has_erc20,has_erc721,has_erc1155,has_safemath,has_accesscontrol,has_governor,has_ownable,has_proxy,has_timelock,has_merkle,op_transfer,op_approve,op_mint,op_burn,op_initialize,op_deploy,op_upgrade,op_delegatecall,op_verify,op_validate,is_bug_related,dasp_category,confidence
4055,Fix ERC4906 compliance of ERC721URIStorage,fix,fix erc4906 compliance of erc721uristorage,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,2.0
3921,Fix ERC20._update,fix,fix erc20._update,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,2.0
3790,Remove the draft prefix for `ERC20Permit` and `IERC20Permit` as it is now final,fix,remove the draft prefix for `erc20permit` and `ierc20permit` as it is now final,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,2.0
3214,ERC721RoyaltyUpgradeable Usage Bug,bug,erc721royaltyupgradeable usage bug,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,未知函数调用,2.0
2942,`ERC20PresetFixedSupply` may have tokens minted,fix,`erc20presetfixedsupply` may have tokens minted,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,算术问题,2.0
2821,Update ERC20PresetFixedSupply.sol,fix,update erc20presetfixedsupply.sol,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,操纵区块时间戳,2.0
2526,Apparent Bug in ERC721 Transfer Event,bug,apparent bug in erc721 transfer event,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,算术问题,2.0
2399,Add ERC20 and ERC777 fixed supply presets #2377,fix,add erc20 and erc777 fixed supply presets #2377,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,2.0
2377,Add ERC20 and ERC777 presets with fixed supply,fix,add erc20 and erc777 presets with fixed supply,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,2.0
2328,Fix ERC20Snapshot#_beforeTokenTransfer during mint,fix,fix erc20snapshot#_beforetokentransfer during mint,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,算术问题,2.0
1929,Fix the GSNBouncerERC20Fee token decimals to 18,fix,fix the gsnbouncererc20fee token decimals to 18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,2.0
1816,Fix/add erc721 safe mint safe transfer from #1736,fix,fix/add erc721 safe mint safe transfer from #1736,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,算术问题,2.0
1748,Fix/add erc721 safe mint and safe transfer from #1736,fix,fix/add erc721 safe mint and safe transfer from #1736,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,算术问题,2.0
1549,ERC721 bugfix + gas optimizations,fix,erc721 bugfix + gas optimizations,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,拒绝服务,2.0
1344,Add asmERC20 implemetation to fix interaction with bad ERC20 after solc 0.4.22,fix,add asmerc20 implemetation to fix interaction with bad erc20 after solc 0.4.22,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,算术问题,2.0
