number,title,source,title_lower,has_erc20,has_erc721,has_erc1155,has_safemath,has_accesscontrol,has_governor,has_ownable,has_proxy,has_timelock,has_merkle,op_transfer,op_approve,op_mint,op_burn,op_initialize,op_deploy,op_upgrade,op_delegatecall,op_verify,op_validate
5413,fix: Fixing issue with import.meta.dirname usage Update run.js,fix,fix: fixing issue with import.meta.dirname usage update run.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5404, fix: add symbol length and character validation,fix, fix: add symbol length and character validation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5403,fix: typos in documentation files,fix,fix: typos in documentation files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5402,Fix Typographical Errors in Contracts and Tests,fix,fix typographical errors in contracts and tests,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5401,Fix bash script set max old space on linux,fix,fix bash script set max old space on linux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5397,Fix inaccurate comment for callGasLimit function in ERC4337Utils,fix,fix inaccurate comment for callgaslimit function in erc4337utils,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5396,fix: Error Handling and Improvements in File Deletion Process,fix,fix: error handling and improvements in file deletion process,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5393,fix: fix incorrect usage of import.meta.dirname in Node.js,fix,fix: fix incorrect usage of import.meta.dirname in node.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5392,Fix envvar setting for test and coverage,fix,fix envvar setting for test and coverage,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5381,Fix pragma-consistency.js's comment,fix,fix pragma-consistency.js's comment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5376,docs fix spelling issues,fix,docs fix spelling issues,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5374,fix: Add error handling for npm pack command Update pack.sh,fix,fix: add error handling for npm pack command update pack.sh,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
